Serial Number,PMID,Journal/Book,Publication year,Title,DOI,Citation,Authors,Keywords flagged,Self-reported study aim,Study category,Study location,,,Study population,Pathogen,Programming language,Population size,Age,Sex,Race/ethnicity,Income,Vaccination,Screening and/or testing,Masking,Contact tracing,School closure,Social distancing
753,NA,Springer Science and Business Media B.V.,2024,Information feedback provokes multi-peak dynamics in the modern pandemic spreading,10.1007/s11071-024-09709-2,"Lobov SA, Zharinov AI, Berdnikova ES, Kurganov DP, Kazantsev VB. Information feedback provokes multi-peak dynamics in the modern pandemic spreading. Nonlinear Dyn. 2024;112(16):14677-14686. doi:10.1007/s11071-024-09709-2",Lobov S.A.; Zharinov A.I.; Berdnikova E.S.; Kurganov D.P.; Kazantsev V.B.,Differential equations; Multi agent systems; Agent based; Constant speed; Dynamics patterns; Epidemic development; Infection transmission; Information feedback; Multi-peaks; Risk habituation; SEIR; Simple++; COVID-19,A simple agent-based mathematical model of epidemic development capable of generating various multi-peak dynamic patterns typical of the COVID-19 pandemic,Behavioral Influence on Spread,,,Theoretical,Theoretical,Generic respiratory viruses,C Family,10000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
754,NA,Taylor and Francis Ltd.,2022,Measures to prevent and control the spread of novel coronavirus disease (COVID-19) infection in tourism locations,10.1080/18824889.2021.2012398,"Nagai H, Kurahashi S. Measures to prevent and control the spread of novel coronavirus disease (COVID-19) infection in tourism locations. SICE Journal of Control, Measurement, and System Integration. 2022;15(2):1-12. doi:10.1080/18824889.2021.2012398",Nagai H.; Kurahashi S.,Autonomous agents; Computational methods; Coronavirus; Disease control; Location; Simulation platform; Tourism; Agent based simulation; Agent-based model; Control measures; Coronaviruses; Health policy; Infection process; Local economy; Prevention and controls; Prevention measures; Virtual residents; COVID-19,Reproduces the infection process of 2019 novel coronavirus diseases (COVID-19) in an agent-based model and compares the effects of multiple infection prevention and control measures for a tourism location,Intervention Impact Assessment,Nagano prefecture (Japan),,Japan,General,SARS-CoV-2,Other/Unknown,3200,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
755,NA,Institute of Electrical and Electronics Engineers Inc.,2022,Agent-Based Campus Novel Coronavirus Infection and Control Simulation,10.1109/TCSS.2021.3114504,"Lv P, Zhang Q, Xu B, et al. Agent-Based Campus Novel Coronavirus Infection and Control Simulation. IEEE Trans Comput Soc Syst. 2022;9(3):688-699. doi:10.1109/TCSS.2021.3114504",Lv P.; Zhang Q.; Xu B.; Feng R.; Li C.; Xue J.; Zhou B.; Xu M.,Computation theory; Computer viruses; Disease control; Diseases; Economic and social effects; Mean field theory; Risk assessment; Students; Viruses; Agent based simulation; Computational modelling; Corona virus disease 2019; Coronaviruses; Crowd Simulation; Epidemic prevention and control; Infection model.; Infection models; Prevention and controls; Virus disease; Coronavirus,"Analyze the quantitative influence of the key factors on the virus spread, including crowd density and self-protection",Understanding Epidemic Spread,Zhengzhou University (China),,China,University/School,SARS-CoV-2,C Family,2520,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
756,NA,Multidisciplinary Digital Publishing Institute (MDPI),2023,Agent-Based Modeling to Simulate Aerosolized Transmission of SARS-CoV-2 inside Small Ventilated Spaces,10.3390/covid3070068,"Gaddis M, Manoranjan V, Streipel J. Agent-Based Modeling to Simulate Aerosolized Transmission of SARS-CoV-2 inside Small Ventilated Spaces. COVID. 2023;3(7):937-955. doi:10.3390/covid3070068",Gaddis M.; Manoranjan V.; Streipel J.,"agent-based, modeling, transmission",To understand if this type of agent model is applicable to real-life scenarios and to discuss possible policy implications of our findings on disease spread through aerosols in small spaces with ventilation using our developed model,Understanding Epidemic Spread,Zhejiang province (China),,China,Vulnerable/Underserved,SARS-CoV-2,Other/Unknown,128,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
757,NA,SAGE Publications Ltd,2023,Modeling and interactive simulation of measures against infection transmission,10.1177/00375497221133849,"Abadeer M, Magharious S, Gorlatch S. Modeling and interactive simulation of measures against infection transmission. SIMULATION. 2023;99(4):327-346. doi:10.1177/00375497221133849",Abadeer M.; Magharious S.; Gorlatch S.,Multi agent systems; Transmissions; Virtual reality; Counter measures; Infection probability; Infection transmission; Interactive simulations; Mathematical modeling; Modeling and simulating; Modeling simulation; Pedestrian dynamics; Protective measures; Simulation framework; Coronavirus; COVID-19,to simulate infection transmission and evaluate counter-measures using pedestrian dynamics modeling,Intervention Impact Assessment,munster (Germany),,Germany,General,SARS-CoV-2,JAVA,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
758,NA,Institute of Advanced Engineering and Science,2022,An agent-based model to assess coronavirus disease 19 spread and health systems burden,10.11591/ijece.v12i4.pp4118-4128,"Narassima MS, Anbuudayasankar SP, Rajesh Jammy G, et al. An agent-based model to assess coronavirus disease 19 spread and health systems burden. IJECE. 2022;12(4):4118. doi:10.11591/ijece.v12i4.pp4118-4128",Narassima M.S.; Anbuudayasankar S.P.; Jammy G.R.; Sankarshana A.; Pant R.; Choudhury L.; Yeldandi V.; Singh S.; John D.,"pandemic, transmission, infection, coronavirus, agent-based modeling, respiratory, lockdowns, models",to assess SARS-CoV-2 transmission dynamics and health system burdens using agent-based modeling,Understanding Epidemic Spread,telangana (India),,India,General,SARS-CoV-2,Python,31738240,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
759,NA,Elsevier Ltd,2024,Personnel staffing and scheduling during disease outbreaks: A contact network-based analysis,10.1016/j.cie.2024.110112,"Batista A, Senapati A, Davoodi M, Calabrese JM. Personnel staffing and scheduling during disease outbreaks: A contact network-based analysis. Computers & Industrial Engineering. 2024;193:110112. doi:10.1016/j.cie.2024.110112",Batista A.; Senapati A.; Davoodi M.; Calabrese J.M.,Behavioral research; Decision making; Health risks; Integer programming; Markov processes; Personnel selection; Safety engineering; Sensitivity analysis; Viruses; Contact networks; Day-off scheduling; Disease models; Disease outbreaks; Efficient planning; Employee safety; Global operations; Health and safety; Network-based analysis; Personnel scheduling; COVID-19,To find a balance of workplace occupancy during the pandemic by developing a days-off scheduling model that captures employees’ interactions through the underlying contact network,Intervention Impact Assessment,Theoretical,,Theoretical,Workplace,SARS-CoV-2,C Family,100,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
760,NA,Institute of Electrical and Electronics Engineers Inc.,2023,Epidemic Spread Modeling for COVID-19 Using Cross-Fertilization of Mobility Data,10.1109/TBDATA.2023.3248650,"Schmedding A, Pinciroli R, Yang L, Smirni E. Epidemic Spread Modeling for COVID-19 Using Cross-Fertilization of Mobility Data. IEEE Trans Big Data. 2023;9(5):1260-1275. doi:10.1109/TBDATA.2023.3248650",Schmedding A.; Pinciroli R.; Yang L.; Smirni E.,Data mining; Disease control; Cross fertilization; Disease spread; Disease spread modeling; Epidemic spread; Individual-centric model; Mobility datum; Predictive models; Simulation model; Urban areas; Urban settings; COVID-19,We present an individual-centric model for COVID19 spread in an urban setting,Understanding Epidemic Spread,Seoul (South Korea),,South Korea,General,SARS-CoV-2,JAVA,10000,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
761,NA,Elsevier Ltd,2023,Improving occupational safety in office spaces in the post-pandemic era,10.1016/j.scs.2023.104781,"Sadeghi N, Gerami-Seresht N. Improving occupational safety in office spaces in the post-pandemic era. Sustainable Cities and Society. 2023;98:104781. doi:10.1016/j.scs.2023.104781",Sadeghi N.; Gerami-Seresht N.,Autonomous agents; Computational methods; Disease control; Losses; Occupational risks; Office buildings; Stochastic systems; Sustainable development; Agent-based model; Economic costs; Economic loss; Infectious disease; Intervention; Local authorities; Occupational safety; Office space; Resilient workspace; Socio-economics; COVID-19; disease spread; health and safety; infectious disease; numerical model; occupational exposure; sustainability; workplace; COVID-19,Analyze several non-restrictive interventions that have been introduced to limit the spread of COVID-19 in office spaces,Understanding Epidemic Spread,Seoul (South Korea),,South Korea,Workplace,SARS-CoV-2,Python,857,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
762,NA,Cell Press,2022,Analyzing the impact of a real-life outbreak simulator on pandemic mitigation: An epidemiological modeling study,10.1016/j.patter.2022.100572,"Specht I, Sani K, Loftness BC, et al. Analyzing the impact of a real-life outbreak simulator on pandemic mitigation: An epidemiological modeling study. Patterns. 2022;3(8):100572. doi:10.1016/j.patter.2022.100572",Specht I.; Sani K.; Loftness B.C.; Hoffman C.; Gionet G.; Bronson A.; Marshall J.; Decker C.; Bailey L.; Siyanbade T.; Kemball M.; Pickett B.E.; Hanage W.P.; Brown T.; Sabeti P.C.; Colubri A.,"E-learning; Bluetooth contact sensing; Contact sensing; Domain problems; DSML 2: proof-of-concept: data science output have been formulated, implemented, and tested for one domain/problem; Epidemiological modeling; Modeling; Outbreak science; Outbreak simulation; Pandemic mitigation; Proof of concept; Bluetooth","Examine the utility of an app-based educational outbreak simulator, Operation Outbreak (OO), which seeks to engage and educate participants to better respond to outbreaks",Other,"Brigham Young University (Utah, US)",Utah,US,University/School,Generic respiratory viruses,R,6000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
763,NA,Tsinghua University,2023,COVID-19 transmission in U.S. transit buses: A scenario-based approach with agent-based simulation modeling (ABSM),10.1016/j.commtr.2023.100090,"Borjigin SG, He Q, Niemeier DA. COVID-19 transmission in U.S. transit buses: A scenario-based approach with agent-based simulation modeling (ABSM). Communications in Transportation Research. 2023;3:100090. doi:10.1016/j.commtr.2023.100090",Borjigin S.G.; He Q.; Niemeier D.A.,Public policy; Safety engineering; Transmissions; Uncertainty analysis; Viruses; Agent-based simulation modeling; Agent-based simulation models; High frequency HF; Indoor transmission; Mitigation policies; Mitigation strategy; Scenario-based; Transit agencies; Transit bus; Urban bus; COVID-19,This study examines the specific policy regimes that transit agencies implemented during early phases of the COVID-19 pandemic,Understanding Epidemic Spread,US,,US,Transportation,SARS-CoV-2,Other/Unknown,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
764,NA,University of Surrey,2023,Spatial disparities in vaccination and the risk of infection in a multi-region agent-based model of epidemic dynamics,10.18564/jasss.5095,"Chang MH, Tassier T. Spatial Disparities in Vaccination and the Risk of Infection in a Multi-Region Agent-Based Model of Epidemic Dynamics. JASSS. 2023;26(3):3. doi:10.18564/jasss.5095",Chang M.-H.; Tassier T.,,We investigate the impact that disparities in regional vaccine coverage have on the risk of infection for an unvaccinated individual.,Intervention Impact Assessment,California (US),California,US,General,Generic respiratory viruses,Other/Unknown,10000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
765,NA,MDPI AG,2021,3d agent-based model of pedestrian movements for simulating covid-19 transmission in university students,10.3390/ijgi10080509,"Alvarez Castro D, Ford A. 3D Agent-Based Model of Pedestrian Movements for Simulating COVID-19 Transmission in University Students. IJGI. 2021;10(8):509. doi:10.3390/ijgi10080509",Castro D.A.; Ford A.,,"In this paper, we present a new geospatial agent-based simulation model to explore the transmission of COVID-19 between students living in Newcastle University accommodation and the efficiency of simulated restrictions (e.g., facemask, lockdown, self-isolation).","Intervention Impact Assessment, Understanding Epidemic Spread","Newcastle University (Tyne, England (UK))",,UK,University/School,SARS-CoV-2,JAVA,3902,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
766,NA,IEEE Computer Society,2023,Coupling Fear and Contagion for Modeling Epidemic Dynamics,10.1109/TNSE.2022.3187775,"Jain K, Bhatnagar V, Prasad S, Kaur S. Coupling Fear and Contagion for Modeling Epidemic Dynamics. IEEE Trans Netw Sci Eng. 2023;10(1):20-34. doi:10.1109/TNSE.2022.3187775",Jain K.; Bhatnagar V.; Prasad S.; Kaur S.,Behavioral research; Biological systems; Dynamics; Epidemiology; Behavioral science; Biological system modeling; Contact networks; Epidemic; Epidemic dynamics; Fear-index; Human behaviors; Individual-based; Individual-based modelling; Multiple waves; Differential equations,To model human behavior as a precursor to reliable estimates of epidemic size and duration,Behavioral Influence on Spread,Theoretical,,Theoretical,General,Generic respiratory viruses,Other/Unknown,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
767,39024889,Elsevier B.V.,2024,Role of heterogeneity: National scale data-driven agent-based modeling for the US COVID-19 Scenario Modeling Hub,10.1016/j.epidem.2024.100779,"Chen J, Bhattacharya P, Hoops S, et al. Role of heterogeneity: National scale data-driven agent-based modeling for the US COVID-19 Scenario Modeling Hub. Epidemics. 2024;48:100779. doi:10.1016/j.epidem.2024.100779",Chen J.; Bhattacharya P.; Hoops S.; Machi D.; Adiga A.; Mortveit H.; Venkatramanan S.; Lewis B.; Marathe M.,COVID-19; Epidemiological Models; Humans; Pandemics; SARS-CoV-2; Systems Analysis; United States; Article; clinical outcome; coronavirus disease 2019; demographics; digital twin; disease exacerbation; disease transmission; human; immunity; model; simulation; United States; epidemiological model; epidemiology; pandemic; Severe acute respiratory syndrome coronavirus 2; system analysis,"In this paper, we study the role of heterogeneity on model complexity and resulting epidemic dynamics using UVA-EpiHiper. We discuss various sources of heterogeneity that we encounter in the use of UVA-EpiHiper to support modeling and analysis of epidemic dynamics under various scenarios","Understanding Epidemic Spread, Intervention Impact Assessment",US,,US,General,SARS-CoV-2,C Family,Unknown,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
768,NA,MDPI AG,2020,SIM-D: An agent-based simulator for modeling contagion in population,10.3390/app10217745,"Waleed M, Um TW, Kamal T, Khan A, Zahid ZU. SIM-D: An Agent-Based Simulator for Modeling Contagion in Population. Applied Sciences. 2020;10(21):7745. doi:10.3390/app10217745",Waleed M.; Um T.-W.; Kamal T.; Khan A.; Zahid Z.U.,,"In this paper, an agent-based simulation engine is presented that models the spread of infectious diseases in the population to better understand methods of control ",Understanding Epidemic Spread,Peshwar (Pakistan),,Pakistan,General,Influenza Virus,C Family,1.00E+05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
769,NA,MDPI,2023,Equation-Based Modeling vs. Agent-Based Modeling with Applications to the Spread of COVID-19 Outbreak,10.3390/math11010253,"Kasereka S, Zohinga G, Kiketa V, et al. Equation-Based Modeling vs. Agent-Based Modeling with Applications to the Spread of COVID-19 Outbreak. Mathematics. 2023;11(1):253. doi:10.3390/math11010253",Kasereka S.K.; Zohinga G.N.; Kiketa V.M.; Ngoie R.-B.M.; Mputu E.K.; Kasoro N.M.; Kyandoghere K.,,"In this paper, we explore two modeling approaches to understanding the dynamics of infectious diseases in the population: equation-based modeling (EBM) and agent-based modeling (ABM)",Understanding Epidemic Spread,Theoretical,,Theoretical,General,SARS-CoV-2,Other/Unknown,1000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
770,NA,MDPI,2022,Validating and Testing an Agent-Based Model for the Spread of COVID-19 in Ireland,10.3390/a15080270,"Hunter E, Kelleher JD. Validating and Testing an Agent-Based Model for the Spread of COVID-19 in Ireland. Algorithms. 2022;15(8):270. doi:10.3390/a15080270",Hunter E.; Kelleher J.D.,Autonomous agents; Computational methods; Simulation platform; Agent-based model; Analysis tools; Computing time; Health crisis; Infectious disease; Ireland; Large population; Scaled modeling; Scaling factors; Simulation; COVID-19,To simulate the number of cases per day in Ireland during the autumn of 2020,Understanding Epidemic Spread,Ireland,,Ireland,General,SARS-CoV-2,NetLogo,47580,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
771,NA,Elsevier B.V.,2024,Impact of agent-based intervention strategies on the COVID-19 pandemic in large-scale dynamic contact networks,10.1016/j.physa.2024.129852,"Wang R, Li Y, Wu D, et al. Impact of agent-based intervention strategies on the COVID-19 pandemic in large-scale dynamic contact networks. Physica A: Statistical Mechanics and its Applications. 2024;646:129852. doi:10.1016/j.physa.2024.129852",Wang R.; Li Y.; Wu D.; Zou Y.; Tang M.; Guan S.; Liu Y.; Jin Z.; Pelinovsky E.; Kirillin M.; Macau E.,Disease control; Losses; Nucleic acids; Patient treatment; Viruses; Agent based; Agent-based intervention strategy; Contact networks; Contact tracking and isolation; Control strategies; COVID-19 spreading; Dynamic contact network; Dynamic contacts; Economic loss; Intervention strategy; COVID-19,"To propose a non-markov spreading model based on individual contact dynamic network, to simulate the dynamic contact processes in a city",Theoretical Advancements,"Wuhan, Hong Kong (China) (China)",,China,General,SARS-CoV-2,Other/Unknown,1.00E+06,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
772,NA,Samara National Research University,2023,Simulation of the First and the Second Waves of COVID-19 Spreading in Russian Federation Regions Using an Agent-Based Model,10.18287/JBPE23.09.010302,"Kirillin M, Khilov A, Perekatova V, et al. Simulation of the First and the Second Waves of COVID-19 Spreading in Russian Federation Regions Using an Agent-Based Model. J-BPE. Published online February 13, 2023:010302. doi:10.18287/JBPE23.09.010302",Kirillin M.; Khilov A.; Perekatova V.; Sergeeva E.; Kurakina D.; Fiks I.; Saperkin N.; Tang M.; Zou Y.; Macau E.; Pelinovsky E.,,In this paper we report on the results of simulating the spread of COVID-19 in several representative regions of Russia using an agent-based model with a general pool combined with the simulation of population testing strategy,Forecasting,"Moscow (Russia), Nizhny Novgorod region (Russia), and Novosibirsk region (Russia)",,Russia,General,SARS-CoV-2,Other/Unknown,Unknown,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
773,NA,University of Surrey,2022,How Culture Influences the Management of a Pandemic: A Simulation of the COVID-19 Crisis,10.18564/JASSS.4877,"Kruelen K, De Bruin B, Ghorbani A, et al. How Culture Influences the Management of a Pandemic: A Simulation of the COVID-19 Crisis. JASSS. 2022;25(3):6. doi:10.18564/jasss.4877",Kreulen K.; Bruin B.; Ghorbani A.; Mellema R.; Kammler C.; Vanhee L.; Dignum F.; Dignum V.,,"In this article, we build on scientific work that demonstrates that culture is part of the explanation for the observed variability between countries in their ability to effectively control the transmission of SARS-CoV-2.",Behavioral Influence on Spread,Theoretical,,Theoretical,General,SARS-CoV-2,NetLogo,1000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
774,NA,Multidisciplinary Digital Publishing Institute (MDPI),2023,Multi-Strain Epidemic Models of Mutating Viruses with Airborne Transmission Based on Cellular Automata and Ordinary Differential Equations,10.3390/axioms12070632,Schimit PHT. Multi-Strain Epidemic Models of Mutating Viruses with Airborne Transmission Based on Cellular Automata and Ordinary Differential Equations. Axioms. 2023;12(7):632. doi:10.3390/axioms12070632,Schimit P.H.T.,"epidemic, transmission, cellular automata, model","Simulate transmission of virus using a SIR model in terms of cellular automata, accounting for new virus mutations",Theoretical Advancements,--,,Theoretical,Theoretical,SARS-CoV-2,C Family,1.00E+06,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
775,NA,Elsevier B.V.,2020,On the spread of SARS-CoV-2 under quarantine: A study based on probabilistic cellular automaton,10.1016/j.ecocom.2020.100879,"Monteiro LHA, Fanti VC, Tessaro AS. On the spread of SARS-CoV-2 under quarantine: A study based on probabilistic cellular automaton. Ecological Complexity. 2020;44:100879. doi:10.1016/j.ecocom.2020.100879",Monteiro L.H.A.; Fanti V.C.; Tessaro A.S.,"cellular, automation, infection, modeled, model, simulations",Models the propagation of SARS-CoV-2 using a probabilistic cellular automaton and analyzes quarantine regimes through simulations,"Understanding Epidemic Spread, Intervention Impact Assessment",--,,Theoretical,Theoretical,SARS-CoV-2,Other/Unknown,160000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
776,NA,Elsevier B.V.,2021,Spreading processes in post-epidemic environments,10.1016/j.physa.2021.125980,"Blavatska V, Holovatch Yu. Spreading processes in post-epidemic environments. Physica A: Statistical Mechanics and its Applications. 2021;573:125980. doi:10.1016/j.physa.2021.125980",Blavatska V.; Holovatch Y.,Cellular automata; Active site; Cellular automata algorithms; Cellular automatons; Disordered system; Epidemic process; Natural consequences; SIS and SIR models; Spatial patterning; Square lattices; Stationary state; Epidemiology,"Analyzing infection spreading in fraction of the population, where others are immune to it",Understanding Epidemic Spread,--,,Theoretical,Theoretical,Generic respiratory viruses,Other/Unknown,90000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
777,NA,Elsevier B.V.,2022,Effect of two vaccine doses in the SEIR epidemic model using a stochastic cellular automaton,10.1016/j.physa.2022.127258,"Gabrick EC, Protachevicz PR, Batista AM, et al. Effect of two vaccine doses in the SEIR epidemic model using a stochastic cellular automaton. Physica A: Statistical Mechanics and its Applications. 2022;597:127258. doi:10.1016/j.physa.2022.127258","Gabrick E.C.; Protachevicz P.R.; Batista A.M.; Iarosz K.C.; de Souza S.L.T.; Almeida A.C.L.; Szezech J.D., Jr; Mugnaine M.; Caldas I.L.",Behavioral research; Cellular automata; Decision making; Diseases; Epidemiology; Stochastic models; Stochastic systems; Cellular automatons; COVID-2019; Decisions makings; Disease-free equilibrium; Randomly distributed; SEIR; SEIR epidemic models; Stochastic cellular automaton; Stochastic-modeling; Vaccine efficacies; Vaccines,Proposes a stochastic SEIR model with two vaccine doses to analyze different vaccination strategies and their impact on controlling infections,"Intervention Impact Assessment, Understanding Epidemic Spread",Theoretical,,Theoretical,Theoretical,SARS-CoV-2,Other/Unknown,1000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
778,NA,MDPI AG,2020,Modeling the spread of epidemics based on cellular automata,10.3390/pr9010055,"Dai J, Zhai C, Ai J, Ma J, Wang J, Sun W. Modeling the Spread of Epidemics Based on Cellular Automata. Processes. 2020;9(1):55. doi:10.3390/pr9010055",Dai J.; Zhai C.; Ai J.; Ma J.; Wang J.; Sun W.,"cellular automata, diseases, epidemics, model, scenarios, infection, simulation","Proposes a cellular automaton model to simulate COVID-19 spread in different regions, providing insights into control strategies for infection management",Understanding Epidemic Spread,"New York City, Iowa","New York, Iowa",US,General,SARS-CoV-2,Other/Unknown,5.00E+05,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
779,NA,World Scientific,2022,Modeling the spread of an epidemic in presence of vaccination using cellular automata,10.1142/S0129183122500942,"Datta A, Acharyya M. Modeling the spread of an epidemic in presence of vaccination using cellular automata. Int J Mod Phys C. 2022;33(07):2250094. doi:10.1142/S0129183122500942",Datta A.; Acharyya M.,"model, cellular automata, epidemic, infection, infected",Aims to reproduce the SIR model using a cellular automata approach to capture the spatial spread of infection and study epidemic dynamics,Understanding Epidemic Spread,Theoretical,,Theoretical,Theoretical,Generic respiratory viruses,Other/Unknown,250000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
780,NA,Springer Science and Business Media B.V.,2022,Estimates of the collective immunity to COVID-19 derived from a stochastic cellular automaton based framework,10.1007/s11047-022-09893-3,"Lima I, Balbi PP. Estimates of the collective immunity to COVID-19 derived from a stochastic cellular automaton based framework. Nat Comput. 2022;21(3):449-461. doi:10.1007/s11047-022-09893-3",Lima I.; Balbi P.P.,Cellular automata; Stochastic models; Stochastic systems; Uncertainty analysis; Automata-based model; Collective immunity; Contagious disease; Contagious disease dynamic; Disease dynamics; Infectious disease; Initial population; Neighbourhood; Stochastic cellular automaton; Uncertainty; Article; cellular automaton; contamination; coronavirus disease 2019; herd immunity; human; incubation time; infection sensitivity; mathematical analysis; mortality rate; neighborhood; pandemic; Severe acute respiratory syndrome coronavirus 2; stochastic model; susceptible infected recovered model; Coronavirus; COVID-19,estimates the collective immunity threshold for COVID-19 using a stochastic cellular automaton model to analyze the impact of initial immunity levels on disease dynamics,Understanding Epidemic Spread,,,Theoretical,Hospital or Healthcare Facility,SARS-CoV-2,Other/Unknown,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
781,NA,American Physical Society,2020,Analytical and cellular automaton approach to a generalized SEIR model for infection spread in an open crowded space,10.1103/PhysRevResearch.2.043379,"Nava A, Papa A, Rossi M, Giuliano D. Analytical and cellular automaton approach to a generalized SEIR model for infection spread in an open crowded space. Phys Rev Research. 2020;2(4):043379. doi:10.1103/PhysRevResearch.2.043379",Nava A.; Papa A.; Rossi M.; Giuliano D.,Behavioral research; Robots; Topology; Arbitrary topology; Cellular automata simulations; Controllable parameters; Crowded space; Disease spread; Human behaviors; Individual dynamics; Susceptible-exposed-infectious-recovered; Cellular automata,"To formulate a generalized SEIR model on a graph, describing population dynamics of an open crowded place",Understanding Epidemic Spread,Theoretical,,Theoretical,Workplace,SARS-CoV-2,Other/Unknown,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
782,NA,Saratov State University,2023,Spatial and temporal dynamics of the emergence of epidemics in the hybrid SIRS+V model of cellular automata,10.18500/0869-6632-003042,"Saratov State University, Shabunin A. Spatial and temporal dynamics of the emergence of epidemics in the hybrid SIRS+V model of cellular automata. AND. Published online May 31, 2023. doi:10.18500/0869-6632-003042",Shabunin A.V.,"epidemics, cellular automata, infection, model, transmission","To construct a model of infection spread in the form of a lattice of probabilistic cellular automata, which takes into account the inertial nature of infection transmission between individuals",Understanding Epidemic Spread,Theoretical,,Theoretical,Theoretical,Generic respiratory viruses,Other/Unknown,22500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
783,NA,Elsevier B.V.,2021,The co-circulation of two infectious diseases and the impact of vaccination against one of them,10.1016/j.ecocom.2021.100941,"Puga GF, Monteiro LHA. The co-circulation of two infectious diseases and the impact of vaccination against one of them. Ecological Complexity. 2021;47:100941. doi:10.1016/j.ecocom.2021.100941",Puga G.F.; Monteiro L.H.A.,"infection, diseases, cellular automaton, simulation, model",To evaluate the impact of the vaccination coverage on the prevalence and on the cumulative deaths associated with both contagious diseases,Intervention Impact Assessment,Theoretical,,Theoretical,Theoretical,"SARS-CoV-2, Vaccine preventable respiratory viruses",Other/Unknown,40000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
784,NA,Elsevier Ltd,2022,Control attenuation and temporary immunity in a cellular automata SEIR epidemic model,10.1016/j.chaos.2021.111784,"Mugnaine M, Gabrick EC, Protachevicz PR, et al. Control attenuation and temporary immunity in a cellular automata SEIR epidemic model. Chaos, Solitons & Fractals. 2022;155:111784. doi:10.1016/j.chaos.2021.111784","Mugnaine M.; Gabrick E.C.; Protachevicz P.R.; Iarosz K.C.; de Souza S.L.T.; Almeida A.C.L.; Batista A.M.; Caldas I.L.; Szezech J.D., Jr.; Viana R.L.",Disease control; Stochastic models; Stochastic systems; Cellular automatons; Control measures; Disease spread; Disease spread model; Model-based OPC; Re-infection; Restriction measure; Second wave of infection; SEIR epidemic models; Temporary immunity; Cellular automata,analyzes the impact of mobility restrictions and reinfection in a second wave of infections using a stochastic SEIR cellular automata model to evaluate control measures,Understanding Epidemic Spread,Theoretical,,Theoretical,Theoretical,Generic respiratory viruses,Other/Unknown,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
